analysis_id,t2910yyi02dym48
gene_symbol,Morn5
parameter_name,Bone Area
parameter_id,IMPC_DXA_010_001
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
pvalue,0.08509097
mouse_strain,C57BL
