analysis_id,ja66u15m2u47331
gene_accession_id,MGI:1929242
pvalue,0.6130248
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_symbol,Ivd
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_089_001
