gene_symbol,Dhdds
pvalue,0.5832677
mouse_life_stage,Early adult
parameter_id,MGP_IMM_001_001
analysis_id,931wy235b6ru20c
mouse_strain,C57BL
gene_accession_id,MGI:1914672
parameter_name,Total T cells - % of CD45+
