gene_symbol,Dhdds
gene_accession_id,MGI:1914672
analysis_id,3373qi0hq3v957z
pvalue,0.3789578
parameter_name,Neural tube morphology
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_060_001
