pvalue,0.9507206
parameter_name,lens
gene_symbol,Sprr1b
parameter_id,M-G-P_014_001_009
gene_accession_id,MGI:106659
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,8yn459dwp6s65x2
