parameter_name,Time mobile light side
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
parameter_id,JAX_LDT_003_001
analysis_id,4to3561m5r83o2m
gene_symbol,Slc17a9
pvalue,0.9658993
mouse_strain,C57BL
