parameter_id,HMGULA_DYS_024_001
mouse_strain,C57BL
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
Analysis_id,t80r29341hyx34o
pvalue,0.2362285
parameter_name,Vibrissae - appearance
Mouse_life_stage,Early adult
