parameter_name,Calcium
parameter_id,HMGULA_CBC_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
mouse_strain,C57BL
gene_symbol,Hrnr
pvalue,0.8522546
analysis_id,2c8yhb5529k7p90
