parameter_id,HRWLLA_CBC_014_001
gene_symbol,Psd4
pvalue,0.3530827
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Alkaline phosphatase
gene_accession_id,MGI:2674093
analysis_id,59r4cah98g134k3
