analysis_id,jf7i6sbtqd0v5kn
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_symbol,Slx4ip
parameter_id,MGP_IMM_007_001
gene_accession_id,MGI:1921493
pvalue,0.7470882
mouse_strain,C57BL
