gene_symbol,Sla2
gene_accession_id,MGI:1925049
parameter_id,IMPC_EYE_017_001
analysis_id,d2d0dmogx7q81u7
pvalue,0.8526436
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Lens Opacity
