analysis_id,z9i514w20a3l4n2
gene_accession_id,MGI:1933159
pvalue,0.2676924
parameter_id,M-G-P_007_001_011
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,center - resting time
gene_symbol,Rnf114
