gene_symbol,Lcn2
pvalue,0.6829606
mouse_life_stage,Early adult
analysis_id,dl4zzo9k6r4c71c
gene_accession_id,MGI:96757
parameter_id,IMPC_ECG_004_001
mouse_strain,C57BL
parameter_name,RR
