gene_symbol,Dnajc8
analysis_id,9ls22x3nmjkajyn
parameter_name,Forelimb grip strength normalised against body weight
pvalue,0.50609
parameter_id,JAXLA_GRS_010_001
mouse_strain,C57BL
gene_accession_id,MGI:1915848
mouse_life_stage,Early adult
