parameter_name,Startle response
mouse_strain,C57BL
parameter_id,IMPC_CSD_036_001
gene_accession_id,MGI:1915033
analysis_id,m767t7w3k7375e5
mouse_life_stage,Early adult
pvalue,0.7369007
gene_symbol,Ahctf1
