parameter_name,Average duration
pvalue,0.409392
gene_accession_id,MGI:2446186
parameter_id,JAX_ROT_002_001
mouse_life_stage,Middle aged adult
analysis_id,w9o21y8ubly1o73
mouse_strain,C57BL
gene_symbol,Lpgat1
