analysis_id,8d55u4y5227763e
gene_accession_id,MGI:1276578
pvalue,0.478246
parameter_id,IMPC_GEL_029_001
mouse_strain,C57BL
gene_symbol,Gfi1b
mouse_life_stage,Early adult
parameter_name,Midbrain
