parameter_name,Center average speed
mouse_strain,C57BL
parameter_id,JAXLA_OFD_017_001
mouse_life_stage,Early adult
analysis_id,25j0kzbh2tg2075
gene_symbol,Sgip1
gene_accession_id,MGI:1920344
pvalue,0.8467374
