gene_symbol,Tmem203
mouse_life_stage,Early adult
parameter_name,Startle Response
gene_accession_id,MGI:2443597
analysis_id,z4953q0p2d65h1o
pvalue,0.1000396
parameter_id,M-G-P_008_001_013
mouse_strain,C57BL
