parameter_id,HRWLLA_DXA_007_001
mouse_life_stage,Early adult
pvalue,0.3154578
gene_accession_id,MGI:891989
gene_symbol,Npbwr1
parameter_name,BMC/Body weight
analysis_id,0148r8kvs17fo23
mouse_strain,C57BL
