parameter_id,JAX_ROT_002_001
analysis_id,7dm4twarqcj8866
gene_accession_id,MGI:104805
parameter_name,Average duration
mouse_strain,C57BL
gene_symbol,Snrpb2
mouse_life_stage,Early adult
pvalue,0.775285
