parameter_id,IMPC_FEA_107_001
gene_accession_id,MGI:3588214
analysis_id,sb72v8121554lsc
mouse_life_stage,Early adult
pvalue,0.2045844
mouse_strain,C57BL
gene_symbol,Rufy4
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
