analysis_id,665fysx116l7010
gene_symbol,Bpifa3
parameter_name,Urea (Blood Urea Nitrogen - BUN)
pvalue,0.9726041
parameter_id,IMPC_CBC_004_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1920638
