parameter_name,center - distance
gene_accession_id,MGI:97838
parameter_id,M-G-P_007_001_010
mouse_life_stage,E12.5
pvalue,0.9124376
mouse_strain,C57BL
analysis_id,t4v0vzn5t5v7s82
gene_symbol,Eprs1
