gene_symbol,Sprr1b
parameter_id,IMPC_ECG_003_001
mouse_life_stage,Early adult
gene_accession_id,MGI:106659
parameter_name,CV
analysis_id,5ux6979yjdzx662
mouse_strain,C57BL
pvalue,0.7973858
