analysis_id,qvsver77e696x3q
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:2385884
pvalue,0.9052673
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,MGP_IMM_006_001
gene_symbol,Ddx27
