gene_symbol,Cdin1
analysis_id,u61fydn0oh23613
mouse_strain,C57BL
gene_accession_id,MGI:3026886
parameter_name,% Pre-pulse inhibition - PPI1
pvalue,0.5503426
mouse_life_stage,E9.5
parameter_id,IMPC_ACS_033_001
