gene_symbol,Med22
mouse_strain,C57BL
parameter_id,MGP_IMM_130_001
pvalue,0.2658145
mouse_life_stage,Early adult
analysis_id,5596oa25c0v93g8
gene_accession_id,MGI:98446
parameter_name,CD11b-low cDC - % of CD45+
