parameter_name,QT
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_028_001
mouse_strain,C57BL
analysis_id,uqr3704737mp2zh
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
pvalue,0.2780814
