parameter_name,Thoracic processes
gene_accession_id,MGI:109585
pvalue,0.5764307
gene_symbol,Pld1
analysis_id,h1682qn7m1s5vn1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_064_001
