gene_symbol,Cpa3
mouse_strain,C57BL
gene_accession_id,MGI:88479
parameter_name,Lumbar processes
analysis_id,4b22ho64100n14t
mouse_life_stage,Early adult
pvalue,0.2388049
parameter_id,IMPC_XRY_065_001
