analysis_id,2189p4930810873
parameter_id,MGP_IMM_067_001
mouse_life_stage,Early adult
parameter_name,CD11b-low cDC - % of cDC
pvalue,0.6692076
mouse_strain,C57BL
gene_accession_id,MGI:1915325
gene_symbol,Lurap1
