mouse_strain,C57BL
parameter_id,M-G-P_008_001_013
analysis_id,th6q88457qo1754
pvalue,0.6867153
parameter_name,Startle Response
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
gene_symbol,Lurap1
