analysis_id,zz76896nn7ts0lk
pvalue,0.6772703
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_name,Periphery average speed
parameter_id,IMPC_OFD_013_001
