analysis_id,849259hp4664f81
parameter_id,MGP_PBI_010_001
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.4325913
gene_symbol,Psd4
mouse_strain,C57BL
