gene_symbol,Etfdh
mouse_strain,C57BL
pvalue,0.7817181
analysis_id,061i26r67scv2b6
mouse_life_stage,Early adult
parameter_id,IMPC_IPG_010_001
parameter_name,Fasted blood glucose concentration
gene_accession_id,MGI:106100
