gene_symbol,Tnni1
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_life_stage,Early adult
analysis_id,9y8q89pw1740g96
pvalue,0.05440818
mouse_strain,C57BL
gene_accession_id,MGI:105073
parameter_id,MGP_MLN_072_001
