parameter_name,HR
mouse_strain,C50BL
analysis_id,591uy34b516o0mu
pvalue,0.8354213
mouse_life_stage,Early adult
gene_symbol,Slc28a2
parameter_id,IMPC_ECG_002_001
gene_accession_id,MGI:1913105
