parameter_name,Optic Disc
gene_accession_id,MGI:99501
mouse_strain,C57BL
analysis_id,j4425w23u9er7pd
parameter_id,IMPC_EYE_023_001
mouse_life_stage,E12.5
gene_symbol,Fgb
pvalue,0.9600548
