analysis_id,uoiyd04aswi7902
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2909494
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
parameter_name,Mean left eye lens density
parameter_id,IMPC_EYE_056_001
