parameter_name,Basophil cell count
mouse_life_stage,Early adult
gene_symbol,Gja10
analysis_id,e38mudu5lahm723
gene_accession_id,MGI:1339969
mouse_strain,C57BL
pvalue,0.6167495
parameter_id,IMPC_HEM_037_001
