gene_symbol,Etfdh
mouse_strain,C57BL
pvalue,0.05000847
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
analysis_id,7k657qc11h15t07
parameter_id,IMPC_HEM_036_001
parameter_name,Eosinophil cell count
