analysis_id,m63f5x0w5065303
gene_symbol,Maco1
mouse_life_stage,Early adult
gene_accession_id,MGI:1913396
parameter_id,IMPC_GEP_084_001
pvalue,0.4530243
mouse_strain,C57BL
parameter_name,Limb morphology
