analysis_id,00s10qcw11h79nc
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
pvalue,0.5530576
parameter_id,IMPC_HEM_006_001
parameter_name,Mean corpuscular hemoglobin
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
