analysis_id,8i14t8ywalx8832
pvalue,0.8353996
gene_symbol,Snap23
mouse_strain,C57BL
gene_accession_id,MGI:109356
parameter_id,IMPC_GEL_027_001
mouse_life_stage,Middle aged adult
parameter_name,Neural tube closure
