analysis_id,191nc19u19d5480
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_004_001
pvalue,0.09414665
gene_symbol,Zmynd19
mouse_strain,C57BL
gene_accession_id,MGI:1914437
parameter_name,Eyelid morphology
