analysis_id,6291w5548085kpb
pvalue,0.5240544
gene_accession_id,MGI:1924054
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_symbol,Kdm4c
mouse_life_stage,Early adult
parameter_id,MGP_IMM_022_001
