mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2140475
parameter_name,KLRG1+ NK cells - % of CD45+
pvalue,0.6425525
gene_symbol,AU040320
parameter_id,MGP_IMM_101_001
analysis_id,9chv1sq20fr9k37
