mouse_strain,C57BL
gene_accession_id,MGI:88174
gene_symbol,Bmi1
pvalue,0.06835434
parameter_name,Blood Vessel Morphology
analysis_id,7txn35oc89yne9b
mouse_life_stage,E12.5
parameter_id,IMPC_GEO_011_001
