parameter_name,Cornea vascularisation
analysis_id,22a9w1e6yu6816a
mouse_life_stage,Early adult
parameter_id,ESLIM_014_001_008
pvalue,0.5009125
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
mouse_strain,129SV
