analysis_id,qhl94hj132zq441
parameter_name,Percentage center time
parameter_id,IMPC_OFD_022_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
mouse_strain,C57BL
gene_symbol,Ola1
pvalue,0.3069199
