gene_symbol,Pld1
parameter_id,HMGULA_CBC_003_001
analysis_id,8a93jaopta9l9j8
pvalue,0.4379041
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Chloride
gene_accession_id,MGI:109585
