gene_symbol,Sprr1b
gene_accession_id,MGI:106659
mouse_strain,C57BL
analysis_id,7bzc663kq1647bt
mouse_life_stage,Early adult
pvalue,0.7657627
parameter_name,Retina (combined)
parameter_id,JAXLA_EYE_092_001
