analysis_id,136s2q5ki1281d3
parameter_name,BMC/Body weight
mouse_strain,C57BL
parameter_id,JAXLA_DXA_007_001
gene_symbol,Tiprl
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
pvalue,0.05834823
