gene_symbol,Secisbp2l
parameter_name,Activity (body position)
mouse_strain,C57BL
gene_accession_id,MGI:1917604
analysis_id,06077xj5q367eu8
mouse_life_stage,Late adult
pvalue,0.7021634
parameter_id,IMPC_CSD_029_001
