analysis_id,ckf4kzm59068h05
gene_symbol,KCNG1
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_016_001_003
pvalue,0.855678
parameter_name,Haemoglobin
