gene_symbol,Kdm4c
parameter_name,Center average speed
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3758748
parameter_id,IMPC_OFD_017_001
analysis_id,303b50f72sex677
gene_accession_id,MGI:1924054
