parameter_id,CCP_XRY_001_001
gene_accession_id,MGI:1336200
gene_symbol,Hpca
mouse_life_stage,Late adult
pvalue,0.4749404
parameter_name,Skull shape
analysis_id,p3c43irsz84k961
mouse_strain,C57BL
