parameter_id,IMPC_CBC_013_001
parameter_name,Alanine aminotransferase
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
pvalue,0.5400476
gene_symbol,Kdm5b
analysis_id,m43qgr56o5a0093
mouse_strain,C57BL
