gene_symbol,Rnf114
parameter_id,MGP_IMM_001_001
pvalue,0.8653517
gene_accession_id,MGI:1933159
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
analysis_id,8u21483x41o002j
