parameter_name,Total food intake
gene_accession_id,MGI:1332236
pvalue,0.9116111
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CAL_008_001
gene_symbol,Cds2
analysis_id,6t14n59x7394e05
