parameter_id,IMPC_ACS_033_001
gene_symbol,Slc30a4
analysis_id,00y1yy9h8373ew1
pvalue,0.5574673
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI1
mouse_strain,C57BL
gene_accession_id,MGI:1345282
