analysis_id,2z7zfn0i23r0moi
parameter_id,IMPC_HEM_006_001
mouse_strain,C57BL
gene_accession_id,MGI:1914583
pvalue,2.935485e-08
gene_symbol,Stk35
parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Early adult
