analysis_id,yo327qwsi68335u
mouse_strain,C57BL
parameter_id,IMPC_ECG_028_001
gene_symbol,Pld1
pvalue,0.4210174
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
parameter_name,QT
